statefips,statename,stateabbrev,state_pop2019
1,Alabama,AL,4903185
2,Alaska,AK,731545
4,Arizona,AZ,7278717
5,Arkansas,AR,3017804
6,California,CA,39512223
8,Colorado,CO,5758736
9,Connecticut,CT,3565287
10,Delaware,DE,973764
11,District of Columbia,DC,705749
12,Florida,FL,21477737
13,Georgia,GA,10617423
15,Hawaii,HI,1415872
16,Idaho,ID,1787065
17,Illinois,IL,12671821
18,Indiana,IN,6732219
19,Iowa,IA,3155070
20,Kansas,KS,2913314
21,Kentucky,KY,4467673
22,Louisiana,LA,4648794
23,Maine,ME,1344212
24,Maryland,MD,6045680
25,Massachusetts,MA,6892503
26,Michigan,MI,9986857
27,Minnesota,MN,5639632
28,Mississippi,MS,2976149
29,Missouri,MO,6137428
30,Montana,MT,1068778
31,Nebraska,NE,1934408
32,Nevada,NV,3080156
33,New Hampshire,NH,1359711
34,New Jersey,NJ,8882190
35,New Mexico,NM,2096829
36,New York,NY,19453561
37,North Carolina,NC,10488084
38,North Dakota,ND,762062
39,Ohio,OH,11689100
40,Oklahoma,OK,3956971
41,Oregon,OR,4217737
42,Pennsylvania,PA,12801989
44,Rhode Island,RI,1059361
45,South Carolina,SC,5148714
46,South Dakota,SD,884659
47,Tennessee,TN,6829174
48,Texas,TX,28995881
49,Utah,UT,3205958
50,Vermont,VT,623989
51,Virginia,VA,8535519
53,Washington,WA,7614893
54,West Virginia,WV,1792147
55,Wisconsin,WI,5822434
56,Wyoming,WY,578759
